participantID,StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,consent,prolificID,attentioncheck_nogap,article_feel,article_sentiment,article_tone,BMIS_sad_1,BMIS_shame_1,BMIS_guilt_1,BMIS_tired_1,BMIS_nervous_1,BMIS_calm_1,BMIS_fedup_1,BMIS_loving_1,BMIS_angry_1,BMIS_lively_1,BMIS_caring_1,BMIS_content_1,BMIS_gloomy_1,BMIS_jittery_1,BMIS_drowsy_1,BMIS_happy_1,BMIS_outraged_1,BMIS_empathetic_1,SE_1,public_CSE1,private_CSE1,credibility,objective,valid,useful,rl_product_choice,RL_timing_First Click,RL_timing_Last Click,RL_timing_Page Submit,RL_timing_Click Count,rl_shop_intentions,rl_purchase,rl_wom,rl_attitude,SE_2,public_CSE2,private_CSE2,BMIS_sad_2,BMIS_shame_2,BMIS_guilt_2,BMIS_tired_2,BMIS_nervous_2,BMIS_calm_2,BMIS_fedup_2,BMIS_loving_2,BMIS_angry_2,BMIS_lively_2,BMIS_caring_2,BMIS_content_2,BMIS_gloomy_2,BMIS_jittery_2,BMIS_drowsy_2,BMIS_happy_2,BMIS_outraged_2,BMIS_empathetic_2,rr_product_choice,RR_timing_First Click,RR_timing_Last Click,RR_timing_Page Submit,RR_timing_Click Count,rr_shop_intentions,rr_purchase,rr_wom,rr_attitude,attentioncheck_gap,control_summary,CN_scale_1,CN_scale_2,CN_scale_3,CN_scale_4,CN_scale_5,CN_scale_6,CN_scale_7,CN_scale_8,SDO_1,SDO_2,SDO_3,SDO_4,SDO_5,SDO_6,SDO_7,SDO_8,SDO_9,SDO_10,SDO_11,SDO_12,SDO_13,SDO_14,SDO_15,SDO_16,public_awareness_1,public_awareness_2,public_awareness_3,public_awareness_4,awareness_norms_1,awareness_norms_2,awareness_norms_3,awareness_norms_4,racial_climate_1,racial_climate_2,racial_climate_3,racial_climate_4,disc_concern_1,disc_concern_2,disc_concern_3,disc_concern_4,cb_1,cb_2,cb_3,cb_4,cb_5,cb_6,cb_7,cb_8,cb_9,cb_10,cb_11,cb_12,cb_13,economic_equality,economic_concern,PBRI_1,PBRI_2,PBOI_1,PBOI_2,PBOI_3,purchase_blackbrand,blacklabel_influence,blackbrand_seek,RacialCentrality_1,RacialCentrality_2,RacialCentrality_3,RacialCentrality_4,RacialCentrality_5,RacialCentrality_6,RacialCentrality_7,RacialCentrality_8,PrivateRegard_1,PrivateRegard_2,PrivateRegard_3,PrivateRegard_4,PrivateRegard_5,PrivateRegard_6,PublicRegard_1,PublicRegard_2,PublicRegard_3,PublicRegard_4,PublicRegard_5,PublicRegard_6,frequency ,interracial_contact_1,interracial_contact_2,interracial_contact_3,interracial_contact_4,interracial_contact_5,interracial_contact_6,interracial_contact_7,FeelTherm_1,BA_1,BA_2,BA_3,BA_4,article,collective_concern,personal concern,collective_action,close_circle,community_awareness,age,race,education,polit_affil,polit_affil_4_TEXT,polit_affil_cont_1,gender,gender_4_TEXT,iat_prev,iat_racial,iat_racial_time,iat_racial_quant,recent_results,control_white,control_black,nogap_white,nogap_black,gap_white,gap_black
90,2024-01-25 1:27:12,2024-01-25 1:42:01,0,100,889,1,2024-01-25 1:42:02,R_1gLQmMCRIOaVUwk,anonymous,EN,2,602b3ed14ae791260d6d12c5,from doing the study in the article they have found out that education is a direct factor in income inequality and increasing education will help with the gap.,3,1,4,3,2,2,4,2,2,3,1,2,2,1,1,2,1,3,1,1,1,1,2,3,5,4,4,5,,,,,,,,,,1,2,3,3,2,2,3,3,1,3,1,2,1,1,1,3,1,3,1,1,1,36,4.459,10.814,11.668,5,4,4,5,5,,,3,2,1,3,3,2,3,3,4,4,4,5,4,7,5,7,4,4,3,4,4,5,4,4,2,3,2,3,3,3,4,4,3,3,2,2,1,1,3,5,2,3,1,2,1,2,2,3,1,1,1,1,1,5,5,4,2,2,2,3,1,6,4,3,4,4,4,2,2,3,4,3,4,7,4,2,6,4,5,2,3,4,6,3,2,1,2,5,3,4,3,88,2,4,2,2,i thought the gap seemed rather low to me.,probably not concerned enough or we still wouldn't be dealing with these issues still.,how could i be responsible.  i am 34 years old and do not work in government or anything like that.,They will show their support for george floyd and other stuff like that but thats about it as far as i know.,they would place in a top priority category.,no not at all.  they only pay lip service it seems.,34,1,3,2,,1,1,,21,,,,,,,,3,,
91,2024-01-25 1:19:34,2024-01-25 1:34:25,0,100,891,1,2024-01-25 1:34:26,R_5tGvuCEqCuDkmGr,anonymous,EN,2,6527026560abafeb834c6ed8,Cost of school (on average) based on ethnicity.,1,-1,2,3,3,2,2,2,2,3,2,3,2,2,2,3,2,2,2,3,2,4,2,2,5,5,5,5,19,6.971,18.261,19.079,10,3,3,3,5,4,2,1,2,2,2,2,2,4,2,3,2,2,2,3,2,2,2,3,2,3,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,6,1,2,1,2,7,7,7,7,1,2,2,2,4,4,4,4,3,3,4,4,2,1,3,5,2,2,2,2,1,2,2,2,1,1,1,1,1,5,5,2,2,1,1,1,1,6,4,6,2,1,6,1,1,1,6,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,2,3,1,100,3,4,4,5,I would be curious to see cost of education focused more on states.,It depends on the state/community.,None at all/very little (currently a student).,"LA is pretty progressive, so I would say more than the average.",Pretty important.,No.,21,1,2,2,,1,1,,21,,,,,,,2,,,
92,2024-01-24 23:46:21,2024-01-25 0:01:13,0,100,892,1,2024-01-25 0:01:14,R_7qWLXPPGIhonbow,anonymous,EN,2,5e649a2aef9fad22148acad3,,1,-2,1,4,4,4,1,1,1,4,1,3,1,1,1,4,1,1,1,3,3,2,1,4,6,7,7,7,20,0.57,13.75,14.529,10,5,5,5,5,2,2,4,4,4,4,1,1,1,4,1,3,1,1,1,4,1,1,1,3,3,,,,,,,,,,"There is a severe wealth gap between white and black Americans. Savings are often impacted, and home equity also has a large gap that contributes to the inequality.",,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,1,1,1,1,7,7,7,7,4,4,4,4,5,5,5,5,3,5,5,5,1,1,5,5,1,5,1,1,1,1,1,1,1,1,1,1,1,5,5,2,1,1,1,1,1,6,4,7,1,1,7,1,1,1,7,4,4,4,4,4,4,6,6,2,1,6,6,4,1,6,6,6,1,1,1,100,1,1,1,2,It is sad that there is so much inequality in all parts of life for black Americans.,"I believe some are concerned, just like me. Others are not, and are content with their privilege.",I am responsible in the sense that I benefit from a corrupt system.,Greatly. People in my community work hard to make things more accepting and non-prejudiced.,A lot. many people in my social circle experience racial inequality first hand.,"Yes, people in my community care about equality.",23,1,3,2,,0,2,,21,,,,,,,,,4,
93,2024-01-25 2:57:58,2024-01-25 3:12:53,0,84,894,0,2024-01-25 13:42:17,R_5oI2drEaqMejrw1,anonymous,EN,2,5f233e697cbaef0e3868725a,"Education helps to bridge the gap between the income inequality of white Americans versus black Americans. Educated white and black Americans have similar incomes, whereas white and black Americans with less than a high school diploma have a wider gap between their respective incomes.",5,2,5,1,1,1,1,1,4,1,3,1,4,3,4,1,1,1,4,1,4,4,3,1,7,7,7,6,25,9.408,17.616,21,7,6,6,6,6,4,3,1,1,1,1,1,1,4,1,4,1,3,4,3,1,1,1,4,1,4,,,,,,,,,,,,,,,,,,,,3,3,3,3,5,5,5,6,6,2,2,3,6,6,6,6,,,,,,,,,,,,,,,,,4,4,3,5,3,2,1,3,2,2,2,3,2,,,,,,,,,,,3,5,3,3,5,5,5,4,5,7,7,1,7,7,5,6,2,1,7,6,2,4,1,2,3,2,5,3,45,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,2,,,
94,2024-01-24 23:52:35,2024-01-25 0:07:34,0,100,898,1,2024-01-25 0:07:35,R_3DpYD3L7MOCGwq2,anonymous,EN,2,6127d9b94dccb10213a1e2be,The article indicates that the best way to reduce income inequality is by making education more attainable. ,3,0,3,2,1,1,3,1,2,3,1,3,1,3,1,3,1,1,1,2,4,4,1,4,3,5,3,2,21,7.921,13.103,13.932,4,4,4,4,4,4,1,4,1,1,1,4,1,3,1,3,1,2,4,4,1,1,1,3,1,2,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,1,1,1,1,7,7,7,7,2,3,3,3,5,5,5,5,4,5,3,5,1,1,3,5,1,5,1,1,1,1,1,1,1,1,1,1,1,5,5,4,4,2,2,2,1,4,4,7,1,1,7,1,1,1,7,2,4,6,4,4,6,2,1,5,5,1,7,5,2,3,3,5,1,2,1,100,1,2,1,2,"I think the article I read was too simplified and not a real solution to the issue. The issue isn't higher education at its core, it's racism. ","It's very divided. My personal friends are incredibly concerned, but there are many, many, many White Americans who don't care at all or don't believe racial issues still exist. ",Not at all.,My personal community? To a great extent. To the community I live in? Probably not at all.,A great deal of importance.,"Again, in my personal community yes, in the community I live in, no.",35,1,3,2,,0,3,,21,,,,,,,2,,,
95,2024-01-25 1:40:13,2024-01-25 1:55:15,0,100,902,1,2024-01-25 1:55:15,R_7IQlhhm1hDeTqxj,anonymous,EN,2,6002a207e864012b1a339e70,,3,1,2,2,2,2,2,2,4,2,3,1,3,2,3,2,2,4,3,2,3,4,2,5,4,,4,4,,,,,,,,,,3,2,5,2,1,1,3,1,4,1,3,1,2,3,3,1,1,4,3,1,3,40,4.533,12.421,13.143,6,2,4,3,4,The company made a large amount of money in the past few years.,,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,1,1,1,2,7,7,7,7,1,3,3,3,5,5,5,3,2,4,3,4,1,1,3,5,1,4,1,2,1,2,3,1,1,1,1,1,1,5,5,1,1,5,1,1,1,6,5,3,1,1,7,1,1,1,7,1,1,6,7,1,6,4,7,1,1,4,7,4,1,1,1,4,1,1,1,50,5,7,7,6,,,I believe all white people are equally responsible because of our inherent privilige.,I wish that more people recognized it.,I'm not sure how to answer this one.,I do not. I really wish I did. Racial injustice truly feels ignored in my area,23,"1,3",3,2,,0,4,Transfem Nonbinary,21,,,,,,,,,,5
96,2024-01-24 23:47:30,2024-01-25 0:02:38,0,100,908,1,2024-01-25 0:02:39,R_7zj3nTZlkOvEDDg,anonymous,EN,2,60ff4cca713180d934efc4c7,"The more education you have, the more income you generate. It seems this is becoming regardless of race, although there are some disparities still. ",3,1,5,1,1,1,3,1,4,1,2,1,2,2,3,1,1,1,3,1,3,3,3,4,5,6,5,6,,,,,,,,,,3,2,3,1,1,1,3,1,2,1,2,1,1,2,3,1,1,1,2,1,3,33,9.246,19.888,20.763,4,7,7,6,5,,,1,1,2,4,5,3,5,5,6,1,3,1,7,7,6,6,1,1,1,1,7,7,7,7,3,2,5,3,5,5,5,5,5,5,5,5,1,1,5,5,1,3,1,1,1,2,1,3,2,1,1,1,1,3,4,6,6,3,4,2,1,7,5,6,4,5,7,1,1,1,7,5,3,6,2,1,6,7,7,1,1,7,7,5,1,6,2,6,1,1,1,100,1,6,5,7,I believe it is an overgeneralization of what is happening on a micro level in the United States in the present day. ,I do not believe that the majority of my fellow White Americans are concerned at all about racial issues in our society. ,"I do not believe I have had a direct impact on the issues I read in the article, but do believe we all have inherent bias and contribution whether we know it or not.",Rarely. It seems inconvenient to them.,Quite a bit of important given my field of psychology.,Yes.,27,"1,6",6,2,,0,2,,21,,,,,,,,3,,
97,2024-01-25 0:03:36,2024-01-25 0:18:44,0,100,908,1,2024-01-25 0:18:45,R_5Omli91TWPK6dVL,anonymous,EN,2,5aa865ca89de8200013f89d8,,1,0,2,3,3,3,3,1,3,2,3,2,2,3,3,2,2,2,2,2,3,3,1,3,5,6,6,6,,,,,,,,,,3,1,3,3,3,3,3,1,3,3,3,3,2,3,3,2,2,2,3,2,3,10,7.567,19.719,20.685,5,5,5,6,5,"prior to the fair housing act, discriminatory acts were used to set people of color much further back. This is seen today by looking at housing equity between people of color and of those that are not for the older generations.",,1,1,1,1,1,1,1,1,1,1,1,1,7,7,1,7,2,5,2,2,7,7,7,6,1,2,5,2,2,5,1,5,4,4,4,4,1,1,3,5,2,5,1,1,1,1,2,1,1,1,1,1,1,5,5,3,3,1,1,1,1,5,4,7,1,1,7,1,1,1,1,2,2,3,5,1,3,1,2,4,4,3,3,2,1,3,6,6,1,1,1,95,1,5,5,4,That people of color have an unfair advantage due to past policies.,I think it's hit or miss honestly.,"I don't believe myself I am, but I can be responsible to help the issue by voting.",A lot.,"None, but if it comes out that you do not support it you will most likely not be part of our friend group.",Yes,35,1,5,4,Progressive,0,1,,21,,,,,,,,,,5
98,2024-01-25 0:06:29,2024-01-25 0:21:47,0,100,918,1,2024-01-25 0:21:48,R_6szDnn6m6auA2TE,anonymous,EN,2,5aaae8c215253500012c5997,"The study conducted by the Kaiser Family Foundation demonstrates that older adults aged 65 and above, who are college graduates, regardless of their race, have comparable annual incomes. This underscores the significance of education in reducing the income disparity. Nevertheless, discrepancies persist for individuals with an education level below high school, underscoring the potential of education in addressing racial wealth gaps among older individuals",3,1,4,1,1,1,1,1,4,1,3,1,3,3,4,1,1,1,3,1,3,5,5,1,6,5,5,5,7,8.139,24.743,25.981,14,2,2,4,5,5,5,1,1,1,1,1,1,4,1,3,1,3,3,4,1,1,1,3,1,3,,,,,,,,,,,,3,1,2,3,3,3,3,3,2,2,2,2,7,6,7,6,2,5,4,4,7,5,7,5,3,3,3,3,2,2,1,4,3,3,3,3,4,3,3,1,5,5,5,5,5,5,3,3,5,2,3,5,5,3,2,1,1,2,2,1,1,4,2,4,4,4,4,4,4,4,4,6,6,7,1,7,7,6,6,2,2,6,6,3,2,2,2,4,3,3,3,75,2,2,2,2,"Income disparities can be attributed to  many factors, I have no clear opinion on this matter other than the data presented.","Some are and some aren't , most people are to busy living their lives.",zero,i have no clue,not much,no,51,1,4,1,,7,1,,21,,,,,,,2,,,
99,2024-01-25 0:09:02,2024-01-25 0:24:28,0,100,925,1,2024-01-25 0:24:28,R_1FrzBuTiiYdok5B,anonymous,EN,2,5f480c726bf20b290a8e4bc3,,3,0,3,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,2,2,1,4,7,5,1,,,,,,,,,,2,2,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,28,12.512,45.259,46.514,4,4,4,4,4,,Average income various throughout the country from $30k in low cost areas to $69k in high cost areas like New York.,3,1,3,3,2,3,2,2,7,7,7,7,7,7,7,7,7,1,7,7,7,7,7,1,4,5,4,1,1,1,1,1,1,1,1,1,5,5,1,5,5,5,5,5,5,5,5,5,5,1,5,5,5,1,1,1,1,1,1,1,1,1,1,7,2,1,7,4,4,1,7,3,7,7,1,7,7,7,7,1,1,7,7,4,1,6,4,4,3,3,2,40,6,1,2,2,The article was talking about the differences in average income between high income places and low income places along with talking about the tech industry.,The only white people concerned about race are liberals. Everybody else does not care about race.,0%,There is no racism to address. My neighborhood is a mix of all races and everybody knows everybody and gets along well.,"None, they don't care about any of that nonsense.",No,30,"1,4",5,3,,4,1,,21,,,,,0,,,,,
100,2024-01-24 23:20:55,2024-01-24 23:36:25,0,100,929,1,2024-01-24 23:36:25,R_6Om4VylgnVLF0C5,anonymous,EN,2,654f544d8e1ff8096f0e2eda,,1,-1,2,3,3,2,2,3,1,3,2,4,2,4,2,4,4,3,1,4,4,1,4,1,4,2,3,4,,,,,,,,,,1,4,1,3,3,3,1,4,1,3,4,3,1,3,1,3,1,1,1,3,3,19,0.899,22.242,23.201,21,1,4,4,3,,Inequalities exist and are more because of the higher end--the more wealthy people. ,3,4,3,2,3,4,4,3,2,3,5,3,4,2,6,4,4,3,4,4,3,6,4,3,3,4,2,4,2,4,3,3,2,3,2,2,1,3,4,3,4,3,4,3,2,2,2,4,2,3,4,3,4,3,3,5,6,3,2,2,0,2,2,4,3,5,5,2,6,3,4,4,5,3,3,4,4,5,5,5,4,6,5,3,3,4,3,2,5,4,3,75,4,2,2,3,,,,,,,46,1,3,3,,2,2,,21,,,,,,1,,,,
101,2024-01-25 0:05:38,2024-01-25 0:21:09,0,100,930,1,2024-01-25 0:21:09,R_7oFtCgkzdtGKqEq,anonymous,EN,2,62fdd0e557fbc97b30b32ae3,,2,0,4,1,1,1,4,1,4,2,2,1,1,2,2,1,1,3,2,1,1,4,3,1,6,6,6,2,,,,,,,,,,4,3,1,1,1,1,4,1,4,1,3,1,1,2,3,1,1,3,3,1,1,14,6.71,18.71,19.612,8,6,6,5,6,,"Large cities and rural areas can have different per capita incomes, 69,000 vs 34,000. One potential solution to raising incomes in rural areas are tech hubs. ",1,2,3,2,1,1,1,2,2,1,2,1,7,7,7,6,1,1,1,2,7,7,7,7,2,2,2,1,2,3,2,3,2,4,2,2,2,1,3,4,1,3,2,4,2,2,1,3,2,1,1,1,1,5,5,1,1,2,1,1,1,5,2,5,3,2,5,6,3,2,6,5,7,7,1,5,7,5,6,2,1,5,6,2,5,1,1,2,1,6,1,90,4,5,5,5,large cities and rural areas have different per capita income,"pretty concerned, if nothing is addressed then nothing will change. ",Not very responsible,My community works towards addressing racism against indigenous people,very little,"somewhat, however this is a divided issue, like every issue in America. ",36,1,5,3,,3,1,,21,,,,,0,,,,,
102,2024-01-25 1:28:06,2024-01-25 1:43:39,0,100,932,1,2024-01-25 1:43:39,R_1LqBldsVAspCnGS,anonymous,EN,2,60ef44f89b4d67be02d8eca9,,2,0,3,1,1,1,1,1,4,1,1,1,1,1,4,1,1,1,1,1,2,5,3,1,7,7,7,4,,,,,,,,,,5,3,1,1,1,1,1,1,4,1,1,1,1,1,4,1,1,1,1,1,2,22,9.192,26.414,27.41,10,3,2,1,4,,The article described how there are large income inequalities in different geographic regions across the United States such as between large cities and more rural towns. The article highlights how the federal government invests in technology hubs to provide economic support to smaller towns.,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,1,1,1,1,7,7,7,7,3,3,3,3,1,1,1,1,3,1,3,1,1,1,3,5,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,1,1,1,1,0,4,1,7,1,1,7,1,1,1,7,4,4,7,1,4,7,7,7,1,1,7,7,2,2,1,1,2,1,4,2,100,1,1,1,1,I thought that the article was an accurate assessment of geographic inequality in the United States of America regarding the cities and rural locations. I agree that economic activity is more concentrated in larger cities and the federal investment in things like technology hubs may be able to reduce this economic inequality in American society.,I do not think that most other White Americans are very concerned about racial issues especially in my area because it is just not something most people are exposed to in my town.,I am not directly responsible for the economic inequality described in the article because I do not control who gets paid what for different jobs nor have any kind of large scale impact on such decisions in American society.,I do not think that many people in my community actively work to address racism because it is just not an issue that arises all too often here. I think people are aware of such issues but it is not at the forefront of their minds in general.,My social circle places essentially no importance on combating racial inequality in American society because it is not something that really ever directly affects my social circle.,No. I do not perceive any kind of collective organization or commitment in my community to promote racial awareness because I rarely see anything related to this in my town.,37,1,6,2,,1,1,,21,,,,,0,,,,,
103,2024-01-25 1:30:06,2024-01-25 1:45:46,0,100,940,1,2024-01-25 1:45:46,R_1De9FraCUbNDLu9,anonymous,EN,2,5d344bd3b0f315001a122275,,2,0,2,3,1,1,1,1,1,2,1,1,1,3,1,2,1,1,1,1,3,3,4,1,6,5,6,7,,,,,,,,,,3,4,1,2,1,1,1,1,2,1,3,1,2,3,2,1,1,1,2,1,3,9,5.518,13.91,14.587,5,4,5,5,7,,"Average incomes in the US vary widely. Wealthier areas averaged about $69,000 per year and lower incomes averaged about $32,000. The inequality resulted more from wealthier areas growing economically than from lower income areas falling behind. Sometimes people can relocate for better opportunities but more times than not that is just not practical for them.",1,1,1,1,1,1,1,1,4,3,4,1,6,4,2,4,4,4,4,4,5,5,5,4,3,4,4,4,2,3,2,3,3,3,4,4,2,2,3,4,3,3,3,2,3,4,3,3,3,2,3,3,3,4,4,2,2,3,3,2,1,5,2,5,2,3,5,4,4,3,5,5,6,4,1,5,6,4,5,3,3,5,5,3,4,3,3,3,2,5,3,100,1,1,1,2,I thought the article was informative. It gives you something to think about. It made me feel sad for low income people. I know how it is to struggle financially. ,I think they are more concerned now than they were in the past. You do hear people talk about racial issues more.,Maybe to some extent. I am sort of in the lower income bracket myself. ,I live in New York state. These issues are addressed nationwide.,Honestly here lately the economy has been the focus of my social circle. We seem to all be struggling.,Yes. I see hints of it in my local news and in businesses all around me.,57,1,3,1,,6,2,,21,,,,,0,,,,,
104,2024-01-25 3:10:17,2024-01-25 3:26:16,0,100,959,1,2024-01-25 3:26:17,R_3YzTPlR3zLhl00c,anonymous,EN,2,61bb396b40db417c1a138e43,Education is crucial to close the income gap between blacks and whites.,3,1,5,1,1,1,3,1,4,3,2,2,2,2,3,2,1,3,2,2,2,2,2,1,2,4,3,3,21,1.445,18.675,20.207,15,4,4,2,4,2,2,1,1,1,1,3,1,4,3,2,2,1,1,3,2,2,3,2,2,2,,,,,,,,,,,,3,4,3,3,4,4,2,2,6,6,6,6,2,2,2,2,6,7,7,7,2,2,2,1,3,3,3,3,1,1,1,1,3,1,1,3,5,5,1,2,3,4,5,5,5,5,5,3,4,4,4,4,3,2,1,2,2,1,1,1,0,2,1,2,6,4,1,6,6,6,1,6,7,7,1,7,7,5,5,1,2,5,6,1,3,1,1,4,4,3,3,50,6,7,4,4,I don’t think it was accurate. I think it’s overly optimistic.,I think it depends on the person. You can’t generalize the opinion of all white people. Some care and some don’t.,I mind my own business and honestly avoid people in general regardless of their race. So I don’t see myself as responsible.,I have no idea what other people are doing. How would I know?,None. It’s not up to me or my social circle to solve the world’s problems. We worry about ourselves.,None that I know of.,51,1,5,3,,4,2,,21,,,,,,,2,,,
105,2024-01-25 2:51:37,2024-01-25 3:07:38,0,100,960,1,2024-01-25 3:07:39,R_5WCoeWe4EVHGdQr,anonymous,EN,2,62b1e4dfa33a3d444584c8b3,,2,-1,3,1,1,1,3,2,4,2,4,1,3,3,3,2,2,3,4,2,3,4,3,1,4,5,5,5,,,,,,,,,,4,3,1,1,1,1,3,2,3,2,4,1,3,3,3,1,2,3,4,1,3,11,7.153,14.324,15.873,5,5,5,5,5,,Us average income can vary greatly whether you live in a large city or a rural area. The govt is putting plans in place to change this and make the income gap lessened,3,2,2,2,3,2,2,2,2,2,2,2,6,5,2,6,2,2,2,2,6,5,5,5,2,2,2,2,4,3,3,3,3,3,2,2,2,2,3,4,3,4,4,3,4,4,3,2,2,2,3,1,1,5,4,1,1,1,1,1,1,2,1,6,3,2,5,3,3,3,5,4,4,5,3,4,5,4,4,2,4,4,4,5,1,3,5,6,1,2,1,95,4,2,2,2,That people that live near larger cities have more opportunities to make money and therefore make more than people that live in rural areas,Majority of them are not concerned and feel like it isn't an issue,I am personally not responsible at all,There are a small number that do it daily but most never do it at all,Not very much as we are a mixed race group so it isn't thought about that much in our group since it encompasses everyone and not something that happens inside the group,No there for the most part isnt one,36,1,4,3,,4,1,,21,,,,,0,,,,,
106,2024-01-25 1:28:21,2024-01-25 1:44:23,0,100,961,1,2024-01-25 1:44:23,R_60lbgeZRh8H3rAm,anonymous,EN,2,60fcbea9cf08afcb4800c997,,3,0,3,2,1,1,3,2,4,2,3,2,3,3,4,1,2,3,4,1,3,2,2,4,4,6,5,5,,,,,,,,,,3,2,4,1,1,1,3,2,4,2,3,2,3,3,4,2,3,3,4,1,3,24,6.196,16.121,17.202,7,5,3,2,4,,Geographic economic inequality is mostly caused by bigger areas improving and having higher incomes (even after living costs) rather than smaller areas falling behind. The rural areas are stagnant while the metropolitan areas continue to grow.,1,1,1,1,1,1,1,1,1,1,1,1,7,7,3,7,1,1,2,1,7,7,7,7,2,3,3,4,4,4,4,4,4,4,3,4,2,2,3,4,2,3,1,1,2,2,2,2,1,2,2,1,1,5,5,2,2,1,1,1,0,4,2,6,2,2,7,3,2,1,6,4,3,5,4,2,5,4,4,3,3,4,4,3,3,2,2,4,2,3,2,65,5,5,6,6,It talked about geographically based economic inequality and I agreed with the point that rural communities aren't falling behind metropolitan areas are just moving too quickly for them to keep up with.,Probably a bit concerned,I have no control over how locations grow economically,"It depends, most people try to work together to educate each other",It isn't something we sit down and talk about every day but it is important to understand,yes,21,1,3,2,,0,3,,21,,,,,,1,,,,
107,2024-01-24 23:49:57,2024-01-25 0:06:04,0,81,967,0,2024-01-25 13:43:18,R_331q1d63LEtZTXa,anonymous,EN,2,5d68c88914867f000139f627,,,0,2,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,1,4,2,,,,,,,,,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,1.138,41.339,42.371,31,2,2,2,4,,The average wages across America can vary greatly based on location. This can be due to factors such as weather.  Large metrolopos areas also have higher wages but also have higher cost if living,,,,,,,,,2,6,6,6,2,2,4,6,6,6,6,6,2,2,2,2,4,3,4,4,1,1,1,1,1,1,1,1,5,5,5,1,,,,,,,,,,,,,,2,2,,,,,,,,,3,2,1,3,5,5,4,5,2,6,6,2,6,6,6,6,2,2,6,6,2,2,5,5,2,5,5,2,75,6,5,3,5,,,,,,,,,,,,,,,,,,,,,1,,,,
108,2024-01-24 23:54:26,2024-01-25 0:10:48,0,100,981,1,2024-01-25 0:10:49,R_6EaGjCYJp66fh9E,anonymous,EN,2,61141ef53317a3f90b098b66,,1,0,1,3,1,2,1,1,3,3,1,4,1,3,2,1,1,1,3,3,4,3,1,3,6,4,6,6,,,,,,,,,,3,1,3,1,1,3,1,1,3,1,3,1,1,3,3,1,1,1,3,1,3,23,10.83,21.812,22.852,5,5,5,5,4,"The article speaks of the unfair divide between black and white Americans comparing education an equity. Despite similar backgrounds, white people are always on the top when it comes to wealth.",,1,1,1,1,3,1,1,1,1,1,4,1,1,7,7,1,1,1,1,6,7,7,7,7,2,3,4,3,4,4,4,1,1,1,1,1,1,1,2,5,1,1,1,1,1,1,1,1,3,1,1,1,1,5,5,1,1,1,1,1,1,5,1,1,5,1,1,5,1,5,1,4,5,5,1,4,5,1,1,5,4,1,1,3,1,6,6,6,3,4,2,50,2,5,2,6,My thoughts were that it was an important factual piece that has a sad and truthful tone about racism and inequality. ,I belive there is a strong divide between white Americans who care and don't care about race issues in this country. ,I am responsible to voice these issues to others but I am not to blame for the actual equity issue between black and while Americans. ,My community is mostly racist white people so none. ,My social circle is knowledgable and feel responsible for adhering to these societal issues. ,"No, not at all. ",31,1,5,2,,0,2,,21,,,,,,,,,,5
109,2024-01-25 0:28:12,2024-01-25 0:44:41,0,100,989,1,2024-01-25 0:44:42,R_12OVc7I1RAMHiuT,anonymous,EN,2,638b49928d017fbd9fd95ca4,Wealth distribution amongst whites and blacks are quite similar in the USA,4,1,4,1,1,1,2,1,4,1,4,1,3,3,3,1,1,1,4,1,3,5,5,1,5,6,5,5,,,,,,,,,,5,5,1,1,1,1,2,2,3,1,4,1,3,3,4,1,2,1,3,1,3,33,5.815,14.799,15.378,8,7,7,7,6,,,4,5,5,5,4,5,5,4,4,4,5,4,6,5,5,6,4,6,4,5,7,6,6,3,4,4,5,5,4,4,5,4,5,5,4,4,2,3,2,4,2,5,4,3,4,2,4,2,3,3,3,2,3,3,4,3,2,3,4,2,1,4,4,3,7,3,5,7,7,6,4,6,7,6,1,7,6,7,6,2,2,5,5,3,2,3,2,3,2,3,2,80,3,3,5,3,Whites normally get ahead of blacks in several aspects in USA,Somehow concerned since some people appear to be a bit racist,I do not believe I am responsible at all,To some extent,It has always been a topic of importance,Definitely. Collective commitment can help promote racial awareness,52,1,6,2,,5,1,,21,,,,,,,,3,,
